,name,cc,price,image,rate
0,,"
155 cc, 47 kmpl, 18.1 bhp, 141 kg
","₹ 1,65,903",https://imgd.aeplcdn.com/310x174/n/cw/ec/115871/mt-15-right-front-three-quarter-5.png?isig=0&q=80,Javascript:void(0)
1,Yamaha MT 15 V2,"
149 cc, 45.5 kmpl, 12.2 bhp, 135 kg
","₹ 1,21,985",https://imgd.aeplcdn.com/310x174/n/cw/ec/111153/fz-s-right-front-three-quarter-4.png?isig=0&q=80,Javascript:void(0)
2,,"
149 cc, 48 kmpl, 12.2 bhp, 135 kg
","₹ 1,15,985",https://imgd.aeplcdn.com/310x174/n/cw/ec/49494/fz-right-front-three-quarter-7.png?isig=0&q=80,Javascript:void(0)
3,Yamaha FZ S FI,"
155 cc, 45 kmpl, 18.1 bhp, 142 kg
","₹ 1,64,256",https://imgd.aeplcdn.com/310x174/n/cw/ec/107477/yzf-r15s-v30-right-front-three-quarter.jpeg?isig=0&q=80,Javascript:void(0)
4,,"
249 cc, 38 kmpl, 20.51 bhp, 153 kg
","₹ 1,50,634",https://imgd.aeplcdn.com/310x174/n/cw/ec/53845/fz25-right-front-three-quarter-7.png?isig=0&q=80,Javascript:void(0)
5,Yamaha FZ FI,"
149 cc, 48 kmpl, 12.2 bhp, 139 kg
","₹ 1,37,785",https://imgd.aeplcdn.com/310x174/n/cw/ec/98259/fz-x-right-front-three-quarter-2.png?isig=0&q=80,Javascript:void(0)
6,,"
125 cc, 50.5 kmpl, 8.04 bhp, 99 kg
","₹ 85,787",https://imgd.aeplcdn.com/310x174/n/cw/ec/103097/ray-right-front-three-quarter-3.png?isig=0&q=80,Javascript:void(0)
7,Yamaha R15S,"
125 cc, 50 kmpl, 8.04 bhp, 99 kg
","₹ 80,970",https://imgd.aeplcdn.com/310x174/n/cw/ec/107033/fascino-right-front-three-quarter-2.png?isig=0&q=80,Javascript:void(0)
8,,"
155 cc, 40 kmpl, 14.75 bhp, 126 kg
","₹ 1,43,577",https://imgd.aeplcdn.com/310x174/n/cw/ec/103803/aerox-155-right-front-three-quarter.png?isig=0&q=80,Javascript:void(0)
9,Yamaha FZ25,"
155 cc, 45 kmpl, 18.1 bhp, 141 kg
","₹ 1,81,704",https://imgd.aeplcdn.com/310x174/n/cw/ec/103795/r15-right-front-three-quarter-15.png?isig=0&q=80,Javascript:void(0)
10,,"
149 cc, 46 kmpl, 12.2 bhp, 136 kg
","₹ 1,28,482",https://imgd.aeplcdn.com/310x174/n/cw/ec/141961/fzs-fi-v4-right-front-three-quarter-2.png?isig=0&q=80,Javascript:void(0)
